date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:51	137504/137504	---M-Z	200	added ('OK')	text/html	etag:W/%22baf376f57981f8d3ac4b320d7618325a--gzip%22	https://www.kineticspeech.com/	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/www.kineticspeech.com/index.html	(from )
14:21:51	505/505	---M-Z	200	added ('OK')	text/plain	date:Sat,%2004%20Apr%202026%2019:21:51%20GMT	https://www.kineticspeech.com/robots.txt		(from )
14:21:51	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Sat,%2004%20Apr%202026%2019:21:51%20GMT	http://static1.squarespace.com/static/644281148cd62262058dd198/t/66797ac621362e6c8325eb28/1719237318136/KSS+Logo.jpg?format=1500w	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/static1.squarespace.com/static/644281148cd62262058dd198/t/66797ac621362e6c8325eb28/1719237318136/KSS+Logo.026f7.delayed	(from https://www.kineticspeech.com/)
14:21:52	13081/13081	---M--	200	added ('OK')	image/jpeg	etag:CKfq2v2+74EDEAE=	https://images.squarespace-cdn.com/content/644281148cd62262058dd198/09133475-cfc0-4d40-b41b-cce79997c96f/KSS+Logo.jpg?content-type=image%2Fjpeg	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/images.squarespace-cdn.com/content/644281148cd62262058dd198/09133475-cfc0-4d40-b41b-cce79997c96f/KSS+Logoee8a.jpg	(from https://www.kineticspeech.com/)
14:21:53	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.kineticspeech.com/)
14:21:56	46783/46783	---M-Z	200	added ('OK')	text/javascript	etag:%22a0042b7cbd46c9d141bd38bd49cec738%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-22d4f1bd66094b0e-min.en-US.js	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-22d4f1bd66094b0e-min.en-US.js	(from https://www.kineticspeech.com/)
14:21:57	91765/91765	---M-Z	200	added ('OK')	text/javascript	etag:%224aedbe8a136c15c74c4a97f26eb9338a%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22c6db795661f68d-min.en-US.js	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22c6db795661f68d-min.en-US.js	(from https://www.kineticspeech.com/)
14:21:59	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.kineticspeech.com/)
14:22:02	857780/857780	---M-Z	200	added ('OK')	text/javascript	etag:%2295e588ae39cdec31508f47e3cc14a6d4%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	(from https://www.kineticspeech.com/)
14:22:04	29333/29333	---M-Z	200	added ('OK')	text/javascript	etag:%22e5b9763f263044f69b0eef884b8ff259%22	http://assets.squarespace.com/universal/scripts-compressed/performance-efb529d57db762a2-min.en-US.js	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/assets.squarespace.com/universal/scripts-compressed/performance-efb529d57db762a2-min.en-US.js	(from https://www.kineticspeech.com/)
14:22:06	1144/1144	---MCZ	200	added ('OK')	text/css	etag:W/%2261753509721192b31c4bad3e2cf37120%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/6ebfee59-5477-4111-a1a9-014d4f0e8698_555/website.components.button.styles.css	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/6ebfee59-5477-4111-a1a9-014d4f0e8698_555/website.components.button.styles.css	(from https://www.kineticspeech.com/)
14:22:08	245912/245912	---M-Z	200	added ('OK')	text/javascript	etag:%2271fa227a435b24aec95da4f5e620f00f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	F:/Dev/Client%20Projects/KineticSpeech/KineticSpeech/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	(from https://www.kineticspeech.com/)
